,Unnamed: 0,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Wind Onshore
0,2015-01-01 00:00:00+01:00,259.0,568.0,1093.0,440.0,195.0,916.0,1199.0,418.0,1940.0,422.0,110.0,532.0,3.0
1,2016-01-01 00:00:00+01:00,224.0,458.0,1121.0,220.0,255.0,916.0,1203.0,418.0,1940.0,441.0,119.0,530.0,3.0
2,2017-01-01 00:00:00+01:00,225.0,333.0,1106.0,221.0,257.0,916.0,1205.0,418.0,1940.0,450.0,117.0,530.0,3.0
3,2018-01-01 00:00:00+01:00,224.0,345.0,1111.0,221.0,257.0,916.0,1208.0,418.0,1940.0,438.0,116.0,531.0,3.0
4,2019-01-01 00:00:00+01:00,214.0,320.0,1153.0,221.0,257.0,916.0,1208.0,418.0,1940.0,418.0,116.0,531.0,3.0
5,2020-01-01 00:00:00+01:00,224.0,308.0,1152.0,1.0,257.0,916.0,1210.0,418.0,1940.0,640.0,116.0,531.0,3.0
6,2021-01-01 00:00:00+01:00,234.0,276.0,1183.0,1.0,259.0,916.0,1212.0,418.0,2003.0,627.0,115.0,532.0,3.0
