feature,importance
NO1_generation_other,0.014677266238667377
NO2_generation_other,0.014208346520100447
NO4_generation_other,0.013820659433070818
weekofyear,0.011641881429155756
NO5_generation_other,0.011357140424306906
dayofyear,0.011240093153005766
CZE_generation_other,0.010810201663522697
month,0.010675936071624459
NO1_generation_waste,0.010620829258644425
GER_generation_other_renewable,0.00827756118340821
NO4_generation_fossil_gas,0.008177302580709372
BEL_NUC,0.0076549921000029775
EST_generation_hydro_run_of_river_and_poundage,0.007411174433171462
BEL_generation_nuclear,0.0071789642918415894
AUS_OTHER,0.006955707038355785
AUS_generation_biomass,0.006903894678189458
BKN_generation_biomass,0.006415253317169265
NO4_generation_hydro_run_of_river_and_poundage,0.006030085881014845
GER_generation_other,0.005959695181612871
NO2_generation_waste,0.005921393614722849
CZE_generation_fossil_coal_derived_gas,0.005912147150271035
SE3_OTHER,0.005896377757835084
NO1_generation_hydro_run_of_river_and_poundage,0.005811409213733204
GER_generation_geothermal,0.00575717186527
NO2_generation_fossil_gas,0.005729368059425638
LIT_generation_waste,0.005584725672541541
IT2_generation_fossil_coal_derived_gas,0.005337497494106884
POL_generation_fossil_oil,0.005265695103915949
NO2_generation_hydro_run_of_river_and_poundage,0.005228659307331474
ESP_generation_other_renewable,0.0051937494802798325
GER_generation_nuclear,0.005068963734903986
BKN_generation_fossil_hard_coal,0.005048688336382987
SE3_generation_other,0.005029128915165532
LIT_generation_biomass,0.0049929253301129765
IT4_generation_fossil_coal_derived_gas,0.004910695508922361
BKN_generation_nuclear,0.004901004021714834
CZE_NUC,0.0047867577216673205
BKN_NUC,0.004784598184426098
SWI_generation_nuclear,0.004780884452723746
NO3_generation_hydro_run_of_river_and_poundage,0.004599743372743955
GER_NUC,0.004566600886650467
CZE_generation_nuclear,0.004492818282382856
SWI_NUC,0.004378186703013702
FIN_NUC,0.004348296081370819
NO5_generation_fossil_gas,0.00429917156276713
BKN_generation_other,0.004237664111968692
FIN_generation_nuclear,0.004235115944900282
NO1_INFLEX,0.004127413889958918
NET_generation_waste,0.004006120779564298
DK2_generation_other,0.003913115870280733
GBR_generation_nuclear,0.0038652509021190958
IT2_temperature,0.0038501590857056354
FRA_NUC,0.003819536936417192
NET_generation_biomass,0.003813187285327721
ESP_generation_fossil_oil,0.0038033466720618896
FIN_temperature,0.0037476317764120978
GBR_NUC,0.0037280847419084643
CZE_generation_waste,0.003720369556764488
GBR_OG_NUC,0.003715394167099545
GER_generation_hydro_run_of_river_and_poundage,0.003708508645431272
DK1_generation_other,0.003692776743556581
NO5_INFLEX,0.0036280435496015
IT3_temperature,0.0036169459681084136
BKN_OTHER,0.0034655070338467948
ESP_generation_nuclear,0.003459564180344938
CZE_generation_biomass,0.0034456213542312223
BKN_generation_geothermal,0.0034437536183467296
ESP_NUC,0.003430148606930299
EST_generation_biomass,0.0034207415175209832
NO5_generation_hydro_run_of_river_and_poundage,0.003386449284211458
SE2_OTHER,0.0033840786170263766
IT1_generation_waste,0.003365891828007909
LAT_generation_biomass,0.0033540729172059306
POL_generation_fossil_coal_derived_gas,0.0033154911451744647
LAT_generation_other,0.003291917073432452
IT1_temperature,0.003287763025094954
SE3_generation_nuclear,0.00323798706589672
FRA_generation_nuclear,0.0032364573629330984
BKN_generation_fossil_gas,0.0031613439054511707
LAT_OTHER,0.003111230876362029
IT4_temperature,0.003089367800518473
SE1_temperature,0.0030755811733723794
CZE_generation_hydro_run_of_river_and_poundage,0.0030715520792709955
BKN_generation_other_renewable,0.003067899013000941
IT1_generation_fossil_hard_coal,0.003065621168943449
DK1_temperature,0.0029901675854209528
NO4_temperature,0.0029894606529677157
NO1_FLEX,0.002989251112805713
CZE_temperature,0.0029781460336701523
SE1_OTHER,0.00296737417387989
FIN_generation_waste,0.0029255937670198025
SE2_generation_other,0.0029204708703462665
EST_temperature,0.0028879977445440295
FIN_generation_fossil_hard_coal,0.0028560060126232648
GER_OTHER,0.0028177004095287284
IT4_generation_biomass,0.0028008038508422163
NO1_generation_hydro_water_reservoir,0.0027800418134098564
ESP_generation_fossil_hard_coal,0.002754508042534083
AUS_temperature,0.0027511256747771574
POL_generation_biomass,0.002747014726268248
NET_NUC,0.002737559793637541
NO5_generation_waste,0.0027244346338214645
LIT_temperature,0.0027165244096824296
ESP_generation_hydro_run_of_river_and_poundage,0.002715340553264915
CZE_OTHER,0.00270300651788878
NET_generation_nuclear,0.0027018285722071353
NO1_OTHER,0.0026979425675544943
SE3_TOT_GEN,0.0026934943289719138
NO3_OTHER,0.0026789727664880167
DK2_temperature,0.0026724487368093215
NO3_temperature,0.002662188045845375
ESP_generation_other,0.0026563609128565455
FIN_FLEX,0.002648468247622486
SE3_generation_wind_onshore,0.002646064549752471
SE4_generation_hydro_water_reservoir,0.0026418468550683714
BEL_generation_biomass,0.0026359878328283794
IT3_generation_waste,0.0026328853073376867
SE4_temperature,0.002632647053591359
SE3_temperature,0.00262769339816342
FRA_generation_waste,0.0025978631810321096
DK1_generation_hydro_run_of_river_and_poundage,0.002591550004718302
ESP_temperature,0.0025817569972867464
SE1_generation_other,0.002576703981697952
SE2_temperature,0.002567259151923741
IT3_generation_biomass,0.0025518438138940423
EST_generation_fossil_gas,0.002533017484451989
POL_OTHER,0.0025290557449106884
AUS_generation_hydro_run_of_river_and_poundage,0.0025251583578062573
BEL_generation_hydro_run_of_river_and_poundage,0.0025164117412264865
EST_OTHER,0.0025158759036555136
POL_temperature,0.0025122262615277884
LIT_generation_other,0.0025069295030748346
NO1_temperature,0.002498316573129914
