feature,importance
GER_NUC,0.032110373505968556
AUS_OTHER,0.020580776568357464
dayofyear,0.01545811557293603
weekofyear,0.014209086387393129
BEL_NUC,0.013301249857858731
GER_INFLEX,0.012990018841661614
month,0.012904502209700311
FIN_NUC,0.012409834924971799
NO1_OTHER,0.010377018024958776
DK1_INFLEX,0.00984754116301566
FRA_NUC,0.009624395882835798
GBR_NUC,0.009608752648198493
CZE_NUC,0.009513324317446881
ESP_NUC,0.009226903472264514
DK2_temperature,0.009199909533963038
DK1_temperature,0.009186996706658858
FIN_OTHER,0.008920664986161411
EST_temperature,0.008874923059074998
DK2_INFLEX,0.008654163601229305
BKN_NUC,0.0085826787491874
NO4_temperature,0.008310013426827018
GER_TOT_GEN,0.008274259727469294
NET_FLEX,0.008140905552236184
ESP_OTHER,0.008104178604659423
FIN_temperature,0.008023357328243993
NET_INFLEX,0.007703736926597231
LIT_temperature,0.007665768140729202
LIT_OTHER,0.007521212070696708
POL_OTHER,0.007513949972995227
SE1_temperature,0.007510636765889417
EST_OTHER,0.007487477613218057
SE4_temperature,0.007362460159597626
NO2_FLEX,0.007335528063875335
SWI_NUC,0.0072684761653224
POL_temperature,0.007255477435164805
SE3_temperature,0.007253770677854621
GER_temperature,0.0071495338064287844
DK1_TOT_GEN,0.007112446887730609
GER_OTHER,0.0070844724573400275
NET_temperature,0.0070385757138713215
NO3_temperature,0.006856395971009831
NET_NUC,0.006807973671057007
SE2_temperature,0.006802292333839143
CZE_temperature,0.00678624732176123
NO1_INFLEX,0.006706908887207688
BKN_temperature,0.006611405336247247
NO2_temperature,0.0065833083338274236
AUS_temperature,0.006523213162419553
NO1_TOT_GEN,0.006520596008490626
dayofweek,0.006496484063072398
GBR_temperature,0.006495569286247407
NO5_temperature,0.006470684328894606
BKN_OTHER,0.006286874686432283
IT1_temperature,0.006204476878881375
LAT_FLEX,0.006201182139435107
CZE_OTHER,0.006160427589625149
NO1_FLEX,0.0060369675139654135
NO1_temperature,0.00603371581376184
NO2_TOT_GEN,0.006025845041198586
DK2_TOT_GEN,0.005963348160237232
is_weekend,0.0059256524126612455
IT2_temperature,0.005890200754269368
FRA_OTHER,0.005873651736200947
GER_FLEX,0.00583611477880585
SWI_temperature,0.005831049056180926
NO5_INFLEX,0.0057544828654134995
FRA_temperature,0.00568744876039275
NO1_actual_load,0.005660348734719587
DK2_OTHER,0.005509250539348963
IT4_temperature,0.0055090750194084345
SE3_TOT_GEN,0.005445223226253069
IT3_temperature,0.005391673612973474
POL_INFLEX,0.005347046791361267
DK1_FLEX,0.005312192419997152
SE1_OTHER,0.005227072671886197
POR_OTHER,0.005207410053176455
FIN_FLEX,0.0050630959170916345
FRA_TOT_GEN,0.004944566444689426
BEL_FLEX,0.004937720167489872
SE3_OTHER,0.004828470843745056
BEL_temperature,0.004824214854146676
IT4_FLEX,0.0048098963192804356
SE4_TOT_GEN,0.004741169845929555
IT3_OTHER,0.004673478465024002
SE4_INFLEX,0.0046699675845913195
SE2_OTHER,0.00462968856111107
SE4_OTHER,0.004516606364046309
GBR_FLEX,0.004510508641213164
ESP_temperature,0.004489398577182219
LAT_INFLEX,0.0044835859186270945
IT3_FLEX,0.004422382478481843
NO2_INFLEX,0.004304660681016137
AUS_INFLEX,0.004287990486174882
NET_OTHER,0.004258223589697622
LAT_TOT_GEN,0.004252041898076079
EST_FLEX,0.004227849086972556
IT1_actual_load,0.004172804597484164
FIN_actual_load,0.004114726664143111
CZE_FLEX,0.004111922959022308
NO5_FLEX,0.004047125934036901
IT2_FLEX,0.003956658208761636
GER_actual_load,0.0039009370491922186
SE3_actual_load,0.003888400910158264
FIN_TOT_GEN,0.003834214426404051
BEL_INFLEX,0.0037846646422543084
NO3_actual_load,0.003783572933703088
SE2_INFLEX,0.003766568467963027
NO2_actual_load,0.003751302287959555
SE2_TOT_GEN,0.0037390469008919632
NO2_OTHER,0.003699628374476446
SE3_INFLEX,0.003684314865864016
IT2_OTHER,0.003650521080366123
IT1_OTHER,0.0036346280579904787
NO5_actual_load,0.003631520521676598
NO5_TOT_GEN,0.0036162578329507256
NO4_FLEX,0.0035855089389370824
NO4_TOT_GEN,0.0035833513697330448
NO5_OTHER,0.003581907206472153
DK1_OTHER,0.0035365147673732133
GBR_TOT_GEN,0.0035172666278461585
DK2_FLEX,0.0035055182539048325
NET_TOT_GEN,0.003497018374994522
IT4_OTHER,0.0034921555177635116
GBR_OTHER,0.0034702695773819268
NO4_INFLEX,0.003461296711194057
CZE_TOT_GEN,0.0034279885619255125
NO4_actual_load,0.0034014873458935555
IT1_FLEX,0.0033766781150684744
GBR_OG_TOT_GEN,0.003362217813233038
SE1_INFLEX,0.0032963410557670545
BKN_INFLEX,0.003263976305575114
LIT_INFLEX,0.0032550087461394824
FRA_actual_load,0.0032380863788685106
NO3_FLEX,0.003223198427278707
CZE_INFLEX,0.0032075867001599184
BEL_TOT_GEN,0.0032007441031282977
NO3_INFLEX,0.003196483032226088
POL_TOT_GEN,0.0031894844784754813
SE1_TOT_GEN,0.0031664515840240503
EST_TOT_GEN,0.0031606246901768635
POL_actual_load,0.003158354423000473
LAT_OTHER,0.003157677683491771
POR_temperature,0.0031336501239038732
SE4_actual_load,0.0030461356458166395
IT1_TOT_GEN,0.0030268865633321356
FIN_INFLEX,0.003006734998597791
POL_FLEX,0.002949364935627167
GBR_INFLEX,0.002942757828895193
IT1_INFLEX,0.0029405402442203754
POR_INFLEX,0.002897084398791366
CZE_actual_load,0.002885429237268446
NO3_TOT_GEN,0.0028638256188461097
BKN_TOT_GEN,0.0028625565194596134
SWI_FLEX,0.002842944061252945
EST_INFLEX,0.0028350431273932194
BEL_OTHER,0.0028150562914177205
FRA_INFLEX,0.0028087622306310765
IT4_INFLEX,0.002803509112445883
NO3_OTHER,0.002763164338732503
IT2_TOT_GEN,0.0027198950388314944
BKN_FLEX,0.0027096298410918315
IT2_INFLEX,0.002675033439471829
IT3_INFLEX,0.0026463804787401103
AUS_actual_load,0.002645275880885844
LIT_TOT_GEN,0.0025486578079775236
IT3_TOT_GEN,0.0025301434398336676
IT2_actual_load,0.002506470879837958
IT4_TOT_GEN,0.002501185889268901
SWI_INFLEX,0.0024969300435568826
DK1_actual_load,0.0024577005542849094
SWI_TOT_GEN,0.0024440340366967987
NET_actual_load,0.002424528440368654
AUS_TOT_GEN,0.002402976404843543
FRA_FLEX,0.002324688111715091
ESP_actual_load,0.002266024720998253
BEL_actual_load,0.0022492717280045253
LAT_actual_load,0.0022180010082949848
DK2_actual_load,0.0022069435485738416
ESP_FLEX,0.002202993570150491
ESP_INFLEX,0.002200146874841916
IT3_actual_load,0.00219104282944611
AUS_FLEX,0.0021526704770300047
LIT_FLEX,0.0021397998885393827
POR_FLEX,0.0021259331116014807
EST_actual_load,0.0020637451566427817
LIT_actual_load,0.0019846178532367197
POR_TOT_GEN,0.0019262028454202092
ESP_TOT_GEN,0.0018559776760359954
BKN_actual_load,0.001792010811436933
IT4_actual_load,0.0017847953123271464
POR_actual_load,0.0017509085195934896
GBR_actual_load,0.0017451674632167388
SE2_actual_load,0.0016239867399347617
SWI_actual_load,0.0014966252236777416
hour,0.001483475087355378
SE1_actual_load,0.0012458762884348363
