feature,importance
GER_generation_nuclear,0.009351828730318213
GER_NUC,0.00803465858335641
BKN_generation_geothermal,0.00633052592499007
NO2_generation_other,0.006179676845621102
CZ_NET_UTIL,0.005901554685988981
DK1_generation_other,0.005889631584069722
NO1_generation_other,0.00559245083572926
NO5_generation_other,0.005461792227592996
EST_generation_hydro_run_of_river_and_poundage,0.005415106038370775
dayofyear,0.005299091654041689
SE4_temperature,0.00525162602776592
DK2_generation_other,0.005177750610693001
GER_INFLEX,0.005173168684422675
weekofyear,0.005087423809795524
AUS_OTHER,0.004879234644105206
GER_RES_LOAD_RATIO,0.004623765592223923
AT_NET_UTIL,0.004558630859078388
GER_generation_wind_onshore,0.004430064042966819
IT1_generation_waste,0.004213155647577856
NO4_generation_other,0.004061026178713061
DK1_temperature,0.0040571330974824
AT_NET_CONG_CTR,0.004027246523627725
SI_NET_CONG_CTR,0.0038621231581105757
NL_NET_UTIL,0.0038246997276066863
DK2_temperature,0.0037626213625261886
SE4_generation_hydro_water_reservoir,0.003742913094570496
POL_generation_fossil_oil,0.003656198564585651
GER_temperature,0.0036343373110736847
NO4_temperature,0.0036295686712394986
BE_NET_CONG_CTR,0.0035521228504345158
IT3_generation_waste,0.0035465604821180202
BEL_generation_nuclear,0.0035347407436773564
BEL_NUC,0.0035301990561059163
NET_temperature,0.003528438542032565
CZ_NET_CONG_CTR,0.003515644437814198
POL_temperature,0.0035088978877684334
SE2_temperature,0.003494192332479784
AUS_generation_biomass,0.0034891996959794196
SK_NET_CONG_CTR,0.0033791375607276587
month,0.0033667088064155614
CZE_generation_fossil_coal_derived_gas,0.0033559477679807994
FIN_generation_biomass,0.0033419640528714613
FR_NET_UTIL,0.0033320451485632776
CZE_generation_other,0.0033168899695113106
NET_generation_fossil_gas,0.0033104248025409297
BE_NET_UTIL,0.0033053975731299045
SE3_temperature,0.0032925086856490414
DK2_generation_wind_onshore,0.003283191528230096
DK2_INFLEX,0.003259991356434186
CZE_temperature,0.00323479253632821
NL_NET_CONG_CTR,0.003222191571236806
NO3_generation_hydro_run_of_river_and_poundage,0.003215479516433872
GER_generation_wind_offshore,0.003194130563416256
CZE_NUC,0.003165700284029886
PL_NET_CONG_CTR,0.0031567236784080252
RO_NET_CONG_CTR,0.0031548446988471086
HR_NET_UTIL,0.003146645056841398
FR_NET_CONG_CTR,0.003145342682193206
NO2_temperature,0.0031076862252623176
EST_temperature,0.003107500389585804
GER_generation_other_renewable,0.0031057704440991775
DK1_INFLEX,0.0030827139499710805
CZE_generation_nuclear,0.00307448606932876
NET_FLEX,0.003025943806247585
HU_NET_UTIL,0.003019087453851893
ESP_generation_nuclear,0.0029996035218451686
BKN_generation_nuclear,0.0029907426842227243
BEL_generation_hydro_run_of_river_and_poundage,0.002973617814096448
SE3_generation_nuclear,0.0029307685412299812
HU_NET_CONG_CTR,0.0029248400406295238
FIN_temperature,0.00291763073457111
RO_NET_UTIL,0.0029052269666219876
NO5_temperature,0.002901574976169784
SI_NET_UTIL,0.0028949157189268487
DK1_generation_wind_onshore,0.002880724925001594
IT4_generation_fossil_coal_derived_gas,0.0028388815295080504
SK_NET_UTIL,0.002836310769544204
DE_NET_UTIL,0.002814790747683444
GBR_NUC,0.0028100132968008167
NO3_temperature,0.0028089679619787244
GBR_OG_NUC,0.002798252158916656
NO1_generation_hydro_run_of_river_and_poundage,0.00279772298492407
DK1_generation_hydro_run_of_river_and_poundage,0.0027666161209653406
BKN_temperature,0.0027610592068201475
HR_NET_CONG_CTR,0.002754982567797939
IT1_generation_fossil_hard_coal,0.0027541261624924513
NO2_FLEX,0.0027432927959727595
DK1_generation_wind_offshore,0.002714452049194715
GER_generation_fossil_brown_coal_lignite,0.0026967803336069127
FIN_generation_nuclear,0.0026955594035915956
IT2_generation_biomass,0.0026921482977945795
GBR_generation_nuclear,0.0026912732549142387
BKN_NUC,0.002683337075493598
ESP_NUC,0.002672052071369039
GER_wind_speed,0.0026665856386893392
SE1_temperature,0.002661950064094575
GER_generation_fossil_hard_coal,0.0026268850258298368
GER_generation_other,0.0026218449823281957
IT1_temperature,0.002618475014919999
FIN_OTHER,0.0026107539022104343
CZE_generation_hydro_run_of_river_and_poundage,0.002608645551966548
DK1_wind_speed,0.002602356856043127
NO2_generation_hydro_run_of_river_and_poundage,0.0025974596382460228
FIN_NUC,0.002589356209672712
FRA_NUC,0.002584156679556342
LIT_temperature,0.002568584622149909
DE_NET_CONG_CTR,0.0025415088968080484
IT2_temperature,0.002537246938862579
is_weekend,0.0025139704556300445
SWI_temperature,0.0024776672669432095
NO1_generation_waste,0.002471870012354676
GER_TOT_GEN,0.0024648683868429225
NET_generation_fossil_hard_coal,0.0024511197708447217
PL_NET_UTIL,0.002431909341049443
NO1_temperature,0.002427304545477195
DK2_generation_wind_offshore,0.0023966289052786195
NET_generation_wind_onshore,0.002383064054450767
NET_INFLEX,0.002376682516728648
BEL_generation_biomass,0.0023742718551919262
FRA_generation_nuclear,0.002362161654992438
GBR_temperature,0.002351236909119821
dayofweek,0.0023448263312577954
CZE_generation_waste,0.0023346436362275506
DK2_wind_speed,0.002326235501693981
AUS_temperature,0.0023255244540348057
GER_IEX,0.002321205400637944
LIT_generation_biomass,0.002314813602547458
CZE_generation_fossil_hard_coal,0.0022894555416855342
IT2_generation_fossil_coal_derived_gas,0.002257851030038114
NO4_generation_fossil_gas,0.0022518823284091443
IT3_generation_fossil_hard_coal,0.002251604433165406
POL_OTHER,0.0022446926866684894
NO1_LOAD_PER_PP,0.002241714091932872
