epoch,train_loss,val_loss,r2,mae
1,0.45836245211271137,0.7606387535730997,-1.0013542289976105,978.5736
2,0.3630525080057291,0.7348645528157552,-1.1771766340766976,1008.89
3,0.32370124528041255,0.7191324929396311,-1.041925188333718,975.28015
4,0.2951784638258127,0.6928992172082266,-1.0123422946358516,984.2541
5,0.27921602645745647,0.7043073376019796,-1.1552171345978406,1031.0862
6,0.2672464492229315,0.7041159570217133,-1.148788306765266,1034.0829
7,0.25756024282712203,0.6978257199128469,-1.1121008424149714,1026.8539
8,0.2517588958144188,0.6994848946730295,-1.1378861183326943,1038.0037
9,0.24562743191535658,0.7096139788627625,-1.2225852676134128,1065.6816
10,0.2414072981247535,0.7131855189800262,-1.2415149532081546,1074.2996
11,0.23740042860691363,0.7103255788485209,-1.2124145512114204,1064.3793
12,0.23569579078600958,0.7073423564434052,-1.181025842625304,1053.6289
13,0.23299584824305314,0.7134850323200226,-1.2295319339690811,1069.6738
14,0.23182615351218444,0.7245783507823944,-1.3177536393299403,1096.7736
15,0.23178999928327707,0.7251657148202261,-1.3094519760983645,1100.7035
16,0.23142640120708025,0.7203422089417776,-1.2827450374156508,1083.2493
17,0.23617334319995,0.7115654249986013,-1.1727568744210357,1058.1837
18,0.23187306752571693,0.7312756776809692,-1.3532360882787247,1100.9744
19,0.23961874613395104,0.7391659518082937,-1.4128995884728923,1128.5219
20,0.23278420246564424,0.7403545280297598,-1.4374327842407695,1126.5974
21,0.2402958354124656,0.7128502031167349,-1.1578185742642497,1057.3734
22,0.21861519206028718,0.7110382417837778,-1.1727336880264878,1067.8503
23,0.21435513977821058,0.7204427619775137,-1.2516407151641133,1083.2526
24,0.2131296293093608,0.710320790608724,-1.1651127654457132,1062.7539
25,0.21097116860059592,0.7140458524227142,-1.187653092637829,1073.8918
26,0.20997734711720392,0.7158958812554678,-1.2112103899547555,1075.3203
27,0.20940475567029074,0.713169127702713,-1.1835907099997638,1069.4065
28,0.2088204943216764,0.7151568631331126,-1.1879097944804309,1074.2566
29,0.20828361178819949,0.7155530552069346,-1.1963971492987753,1074.3596
30,0.207778288767888,0.7153461277484894,-1.1936553578567646,1073.5554
31,0.20734177243251067,0.7159456113974253,-1.188109734796364,1074.5681
32,0.20691592131669706,0.7161512275536855,-1.1884563501164838,1074.7781
33,0.2064824516956623,0.7167064050833384,-1.1947108960248798,1075.7618
34,0.2060759342633761,0.7169966598351797,-1.1914746570580714,1075.9115
35,0.2056799061023272,0.7171075642108917,-1.1862836082532708,1075.8323
36,0.20530230265397292,0.7176425158977509,-1.1901016617634388,1076.8834
37,0.20492097620780653,0.7180675466855367,-1.19305821825902,1077.5576
38,0.20455124114568418,0.71828293800354,-1.1893759740913938,1077.5566
39,0.20419677518881285,0.7186211148897806,-1.18719685706198,1077.9666
40,0.20385514887479636,0.7189890444278717,-1.189774579947397,1078.7432
41,0.20265674132567185,0.7171807289123535,-1.1763295319817817,1075.4978
42,0.2024288956935589,0.7168453633785248,-1.17321347673442,1075.6609
43,0.20225488394498825,0.7178691923618317,-1.1788314070293648,1077.1509
44,0.20209392389425865,0.7175366381804148,-1.1756143648159034,1076.6019
45,0.20192813414793748,0.7177978058656057,-1.1761420965904759,1077.0991
46,0.20177386987667817,0.718009223540624,-1.1766343081647244,1077.3912
47,0.20161430365764177,0.7180555860201517,-1.1757656200651414,1077.492
48,0.20145714913423246,0.7182701826095581,-1.17608223941189,1077.8429
49,0.20130248597035041,0.7184105515480042,-1.1759145782396039,1078.0658
50,0.20114707029782808,0.7185557981332144,-1.175701718037272,1078.3121
51,0.2009938107087062,0.7187336385250092,-1.1757481022303615,1078.5989
52,0.2008415930546247,0.7188861270745596,-1.1756108806654084,1078.8475
53,0.20069015541901955,0.7190517882506052,-1.1755510687597055,1079.1191
54,0.20054029100216353,0.7192210555076599,-1.1755313050876963,1079.3934
55,0.2003914645084968,0.7193848292032877,-1.17547298350824,1079.6614
56,0.20024382208402342,0.7195550898710886,-1.1754625283472138,1079.9424
57,0.20009752248342222,0.7197249531745911,-1.1754593689091408,1080.2228
58,0.19995238803900206,0.7198947171370188,-1.1754596832833881,1080.5048
59,0.19980852363201287,0.7200673222541809,-1.1754854947783633,1080.7927
60,0.19966595161419648,0.7202397882938385,-1.1755192908450707,1081.0818
61,0.19906961917877197,0.71975044409434,-1.1710179033283308,1080.1642
62,0.19898990312447914,0.719449371099472,-1.169212126656537,1079.9276
63,0.19891349627421454,0.7196086545785269,-1.1698404258607502,1080.2428
64,0.19884216785430908,0.7197216351826986,-1.1700019678134068,1080.465
65,0.19877249289017457,0.7198034425576528,-1.170021921991013,1080.6283
66,0.19870311881487185,0.7198836704095205,-1.1700287933412334,1080.7825
67,0.198633933869692,0.7199631929397583,-1.1700392537449935,1080.9326
