epoch,train_loss,val_loss,r2,mae
1,0.6762289496568533,1.1432109475135803,-4.27541162488221,1661.9303
2,1.2253711315301747,1.9632570346196492,-21.79371684769159,3186.5046
3,1.5753929225298076,1.8387515544891357,-17.714514645648528,2737.8694
4,2.2412495888196506,2.3920944134394326,-29.19219280950606,3482.4792
5,2.253739677942716,2.2285743951797485,-30.183082488056034,3659.293
6,2.043574720621109,1.6420844395955403,-14.298094845441067,2347.2473
7,1.7008872811610882,1.4767844676971436,-9.07360431616454,2077.2747
8,2.1348151656297536,1.8365970055262248,-19.52555260896742,2879.2285
9,2.3946637350779314,1.9504326184590657,-20.365123814430397,2955.7769
10,2.1325702644311466,1.9623193343480427,-24.570888250280433,2950.8684
11,1.978075582247514,2.013067364692688,-21.764808590365554,3060.257
12,2.255716472864151,1.7647980451583862,-16.631196000248003,2651.6711
13,2.2327710481790395,1.9898873964945476,-21.971540401957476,3338.3247
14,2.3291879846499515,2.0383266607920327,-23.442871364734877,3066.4087
15,2.2397173597262454,1.8625593185424805,-14.715839106730991,2674.8608
16,2.3037061989307404,1.8227883179982503,-19.140400864062634,2892.4482
17,2.3874568824584665,2.2025285164515176,-29.01049619403988,3553.1821
18,2.092226308125716,1.9839832385381062,-20.300338464462612,3113.726
19,1.9399733474621406,1.8009233474731445,-16.981246746370612,2565.5015
20,2.0718065133461585,1.5448800722757976,-13.433007314987421,2345.0508
21,2.0939969512132497,1.2658204237620037,-5.479451200250859,1673.1628
22,0.8151097756165725,1.1494729320208232,-5.810140678707751,1843.0674
23,0.5448426913756591,0.9486656188964844,-4.335988305416166,1478.677
24,0.6629044218705251,0.9468029538790385,-3.505641432704852,1486.3455
25,0.5573518643012414,1.0187938610712688,-4.456250632532951,1658.2695
26,0.6553716900256964,1.0155812700589497,-4.245693711253539,1596.261
27,0.6536292708837069,0.94674019018809,-3.2211983007854306,1359.6868
28,0.7277578711509705,0.9492142995198568,-3.7746458435373937,1472.0193
29,0.8652800206954663,1.0180760423342388,-4.184874168318869,1586.3997
30,0.7709421538389646,1.2446078856786091,-7.081821904226293,2048.726
31,0.8485395541557899,1.0819133122762044,-5.294786766608696,1759.4117
32,0.8417985278826493,0.9241026441256205,-4.3856469861780765,1459.4814
33,0.9392049461603165,1.0408582488695781,-5.355802520076122,1599.5579
34,0.9433191831295307,1.2840349872907002,-7.544678300461074,2128.0437
35,0.9277997383704553,1.2010658582051594,-6.601333207108645,1959.3561
36,0.969618749160033,0.9806387225786845,-5.127747373161901,1579.7676
37,1.0381936809191337,1.0815439422925313,-5.7880016394643645,1665.3948
38,1.0050233522286782,1.2952761848767598,-7.725896392376531,2142.4421
39,0.9674831961209958,1.2304378151893616,-7.167597617837958,1995.7877
40,0.9844785172205704,1.0051980018615723,-5.49902685810607,1607.2026
41,0.9459662976173254,0.8427887360254923,-2.414418344103626,1192.4866
42,0.3999998460595424,0.8802428642908732,-2.5398240064925663,1379.7373
43,0.27241947043400544,0.7740542689959208,-1.795262769143648,1180.0356
44,0.2975490236511597,0.7735905845959982,-1.6938009746090574,1174.1644
45,0.2335146373281112,0.7999459803104401,-1.949090439244102,1247.5658
46,0.2297664932333506,0.7782011131445566,-1.6444624710201807,1198.513
47,0.22259106028538483,0.7422946194807688,-1.4277315881943804,1121.7737
48,0.2267786803153845,0.7611269454161326,-1.5606441144457386,1155.2229
49,0.21825973173746696,0.7950020531813303,-1.8530268506913128,1244.1238
50,0.21849888677780444,0.7739072839419047,-1.607351408727593,1189.779
51,0.216886424101316,0.7431313792864481,-1.3825096850406982,1118.7441
52,0.220754752938564,0.7554922103881836,-1.4856126756627135,1145.7274
53,0.21721269820745176,0.7932566404342651,-1.831683049464899,1245.9897
54,0.21957289484831002,0.7807696461677551,-1.6953719611584517,1212.1941
55,0.21927683915083224,0.7532146672407786,-1.39917096798936,1124.4583
56,0.22595579692950615,0.7506146927674612,-1.4202647774001942,1134.3676
57,0.22466304153203964,0.7927056849002838,-1.8043998217825128,1243.0825
58,0.2304852633522107,0.7937765220801035,-1.9059365116586182,1262.1199
59,0.23027698294474527,0.7709353566169739,-1.5390353028565626,1151.1543
60,0.24136820206275353,0.7559194962183634,-1.394927748546611,1122.3328
61,0.2422484067770151,0.7632341881593069,-1.5561691421223425,1186.8208
62,0.21745372678224856,0.7725094358126322,-1.6098768930610539,1203.6411
63,0.20215876858968002,0.75005175669988,-1.3610739822783047,1129.6776
64,0.20113449199841574,0.7588141063849131,-1.484885851067275,1175.4308
65,0.1976493075489998,0.7574924826622009,-1.4597838503312495,1166.0194
66,0.19610183743330148,0.7519195477167765,-1.387787561374735,1143.7568
67,0.1958656242260566,0.7561095555623373,-1.439879170186765,1163.6792
68,0.1952392435990847,0.7547199428081512,-1.425936525845064,1158.6406
69,0.19491951224895623,0.7532731195290884,-1.3993285902850918,1150.1298
70,0.19479713990138128,0.7551960349082947,-1.4192670262532634,1158.564
71,0.19460847629950598,0.7543696761131287,-1.4136399116032747,1157.0016
72,0.19445766795140046,0.7538143694400787,-1.4007832138382388,1152.7495
73,0.19434857769654348,0.7548886934916178,-1.4079002247468222,1156.3523
74,0.19424490000192934,0.7545342743396759,-1.4061956216909706,1156.499
75,0.19412738314041725,0.7541272540887197,-1.398662868765102,1154.0505
76,0.19401975377247885,0.754795124133428,-1.4003497721120322,1155.3887
77,0.1939288182900502,0.7548226217428843,-1.4003286838083229,1156.2404
78,0.19382880800045454,0.7544607321421305,-1.3955899221634016,1154.9045
79,0.19372362586168143,0.7548077205816904,-1.3947055492784304,1155.0706
80,0.19362961844756052,0.7551017502943674,-1.3951978103277933,1156.0247
81,0.19271272994004762,0.7533382872740427,-1.3843270774154417,1153.1848
82,0.19260541865458855,0.7529227236906687,-1.3825789928548011,1153.1132
83,0.19254520936654165,0.7535460789998373,-1.3848625512312425,1154.0309
84,0.19250026574501625,0.7531944612661997,-1.3823723359634603,1153.5204
85,0.19244905160023615,0.753322591384252,-1.3823081498986338,1153.7585
86,0.19240325345442846,0.7533376117547353,-1.3815852215165676,1153.777
87,0.19235438738877958,0.7533361415068308,-1.3808074096555913,1153.7847
88,0.19230643315957144,0.7533928255240122,-1.3802601005361148,1153.8646
89,0.19225861132144928,0.7534146209557852,-1.3795363736155293,1153.8859
90,0.19221018770566353,0.7534562349319458,-1.3788967742274554,1153.9349
91,0.19216204893130523,0.7534977595011393,-1.3782420613597925,1153.9772
92,0.19211364250916702,0.7535376946131388,-1.377578285142543,1154.0145
93,0.19206513865635946,0.7535833915074667,-1.3769353940825044,1154.0574
94,0.19201659697752732,0.7536284426848093,-1.3762877133641718,1154.098
95,0.191967901128989,0.7536757787068685,-1.3756506586336998,1154.1406
96,0.19191914109083322,0.753725121418635,-1.3750223253230658,1154.1843
97,0.1918702841951297,0.7537755966186523,-1.37440104409677,1154.2275
98,0.19182133216124314,0.7538281480471293,-1.373791472530505,1154.2737
99,0.19177231249900964,0.753882477680842,-1.3731928199202177,1154.3213
100,0.19172320342980897,0.7539386649926504,-1.3726058727853012,1154.3707
