epoch,train_loss,val_loss,r2,mae
1,0.44376131089834064,0.8698464632034302,-2.0832905407104207,1134.7839
2,0.407041086600377,0.7470941344896952,-1.0210903573747594,982.6922
3,0.399006466452892,0.7168654501438141,-0.8575825137481654,943.02216
4,0.3893615488822644,0.7362595597902933,-0.9836355049623926,983.10614
5,0.38240061700344086,0.7405129472414652,-0.9229909914495998,967.5584
6,0.383834196971013,0.7444312373797098,-0.9354358180499698,946.7518
7,0.3762629972054408,0.7065243721008301,-0.6782917042100385,879.0043
8,0.3669558522792963,0.7409845391909281,-0.8909520550822203,962.37366
9,0.35793884098529816,0.7809233069419861,-1.0623601710886965,1014.58154
10,0.35357464162202984,0.7501829663912455,-0.9075202116752065,979.1206
11,0.35197062905018145,0.7409806450208029,-0.8171423062488208,934.6823
12,0.35214365331026226,0.7446289459864298,-0.8998235648401269,951.15936
13,0.35050355528409666,0.7588909467061361,-1.0438779098261546,993.1711
14,0.3514880979290375,0.7137664258480072,-0.8846809499758725,908.27216
15,0.3480612033834824,0.7423143784205118,-0.8500838361037758,936.3301
16,0.3417879320107974,0.7113837798436483,-0.7979460072617394,908.4139
17,0.33941222669986576,0.7198899984359741,-0.8924114147179234,932.9413
18,0.3404138947908695,0.7453193664550781,-0.9988980886069984,1012.3678
19,0.337342337346994,0.7700835267702738,-1.0960467540929661,1022.0514
20,0.3358964203641965,0.7471360762914022,-0.9440595591415277,957.8373
21,0.3233597994996951,0.752312183380127,-0.9735252236096741,990.64386
22,0.3101311675631083,0.7352182666460673,-0.9212934164861835,946.3451
23,0.302615436223837,0.7372887333234152,-0.9444859023070087,959.0646
24,0.299493823487025,0.7470105687777201,-1.004508804776709,987.8312
25,0.2994752044861133,0.726728359858195,-0.925545250460242,938.0031
26,0.2992346086181127,0.7847275137901306,-1.3095889382474026,1043.0017
27,0.29792168793769985,0.7701825896898905,-1.106053907141629,991.74036
28,0.29491249873087955,0.7411256829897562,-1.093008622578636,982.6251
29,0.29504620455778563,0.7694247166315714,-1.2394540268273464,1013.0915
30,0.29271797320017445,0.8079293370246887,-1.3057396105992514,1061.8528
31,0.2920042545749591,0.7805243730545044,-1.1524959949047213,1000.7376
32,0.2908744508257279,0.817495584487915,-1.4544353272231318,1112.7429
33,0.2908932910515712,0.783199409643809,-1.4821649994505284,1053.6804
34,0.28706442507413715,0.7772442499796549,-1.3474528368653667,1030.0857
35,0.28372848950899565,0.7770416339238485,-1.1200331862226407,1031.6531
36,0.2800273998425557,0.7984989285469055,-1.3333510348877844,1099.8374
37,0.27942987646047884,0.7753502527872721,-1.1468336355652327,1029.7415
38,0.278461879835679,0.7869168519973755,-1.2116538941705899,1041.7878
39,0.2750896616623952,0.7680666049321493,-1.2802052788517906,1039.5911
40,0.2696566524413916,0.7964679996172587,-1.1291041523628937,1024.4766
41,0.2640546875504347,0.7580762108167013,-1.2391474226286419,1011.9833
42,0.2516911259064308,0.764370858669281,-1.222590527448253,1012.291
43,0.2417571825476793,0.7465286056200663,-0.9991551857644729,983.35724
44,0.2356230393052101,0.7560477058092753,-1.0619142782119624,1007.43945
45,0.2326851011468814,0.7650696833928426,-1.0896584050966047,1012.612
46,0.23151254596618506,0.7814510265986124,-1.200474603895739,1042.4792
47,0.23158626946119162,0.8040356834729513,-1.5994429451217334,1104.7549
