epoch,train_loss,val_loss,r2,mae
1,20458086.230769232,16647861.333333334,-27.00767082333748,3683.4277
2,15163360.423076924,6812774.166666667,-9.039301994266614,2106.3904
3,3160206.980769231,1877156.5416666667,-1.312271156040909,1085.7048
4,1404251.6033653845,1472448.7916666667,-0.5525573645984115,899.8218
5,1224796.3846153845,1417180.9166666667,-0.4331104163311209,873.67786
6,1236404.764423077,1430577.625,-0.47101386027965,880.3721
7,1230631.34375,1399728.7916666667,-0.42944460557031106,870.5477
8,1216965.9182692308,1415034.2083333333,-0.4526005680548163,875.58923
9,1217448.4375,1458092.2083333333,-0.5152083630352216,889.0425
10,1209237.4134615385,1476537.5,-0.526910746545276,893.4409
11,1210596.8004807692,1433382.875,-0.46671502143544846,879.8911
12,1212212.9350961538,1402069.8333333333,-0.4013154950449306,871.93243
13,1204675.389423077,1437388.8333333333,-0.45183062040637745,887.2626
14,1200523.5697115385,1461283.9166666667,-0.5016205789797631,890.5887
15,1191027.3197115385,1446542.75,-0.5035982174727403,885.77356
16,1194644.1177884615,1503170.4583333333,-0.6137713378670675,900.54675
17,1189848.1009615385,1483434.5,-0.5383165565708024,895.9127
18,1187321.139423077,1475182.9166666667,-0.5181387812812723,893.82825
19,1185517.6826923077,1450498.75,-0.4600715315941145,889.82715
20,1182019.6634615385,1434843.1666666667,-0.4793496902209681,880.8337
21,1159682.4110576923,1491755.375,-0.5447590688239656,894.4752
22,1138856.3100961538,1461571.75,-0.49472370806260724,885.77795
23,1136994.108173077,1501648.1666666667,-0.5632481690663618,896.86316
24,1136375.0216346155,1518863.9583333333,-0.5775154172342439,903.2921
25,1134446.1610576923,1516000.375,-0.5524610518725119,904.4972
26,1134631.423076923,1498917.75,-0.5122380726307305,900.5001
27,1133213.4110576923,1495737.5833333333,-0.533129332859579,897.49023
28,1130335.78125,1558423.25,-0.6452415832371051,912.31555
29,1133651.03125,1542413.0,-0.6247215966419182,907.59784
30,1130776.0216346155,1487579.4583333333,-0.5215298425928596,896.2987
31,1132702.1442307692,1488319.0416666667,-0.5190903779301816,897.6045
32,1129031.2860576923,1519834.6666666667,-0.5855238673913898,906.3201
33,1130572.7259615385,1558456.9166666667,-0.6255639979707481,914.8408
34,1129077.4927884615,1532773.0833333333,-0.5920227643403194,907.9826
35,1128271.3774038462,1509536.875,-0.560357343238531,901.3381
36,1126037.7091346155,1540068.5,-0.6113571596926908,908.5167
37,1126041.1153846155,1573951.75,-0.6460720981549752,920.10486
38,1126980.9927884615,1511461.75,-0.5465762192772722,902.4326
39,1128042.548076923,1524182.375,-0.6106925105813188,909.063
40,1128688.8725961538,1562121.2916666667,-0.6424739739023044,919.87195
41,1114488.7716346155,1534625.5416666667,-0.5994050108306253,906.14246
42,1110491.7403846155,1553695.5,-0.6274448064683045,911.1456
43,1107813.2427884615,1541244.875,-0.6075924334622336,908.52795
44,1105134.576923077,1558221.6666666667,-0.6269164671153911,912.9087
45,1105727.4110576923,1573901.0,-0.6489754241807488,917.01874
46,1103340.1033653845,1561003.375,-0.6272160483625446,914.59
