epoch,train_loss,val_loss,train_r2,val_r2,train_mae,val_mae
1,2062.0535888671875,1925.8780517578125,-6597689.034938671,-7213215.80984284,1994077.4,1810077.6
2,1582.5516531808037,1476.9678344726562,-3983939.4747665124,-4195344.916891782,1524737.0,1381480.5
3,1157.2311139787946,1063.826416015625,-2189747.218547438,-2138685.5945319463,1114016.9,993885.7
4,787.1226370675223,700.4411315917969,-1046110.994797286,-934417.9331553353,759338.2,659432.2
5,498.89332798549106,442.38929748535156,-428210.6934260485,-393937.5991407236,482976.7,423700.2
6,317.8070547921317,291.50868225097656,-171654.0130050208,-189365.95569097376,309462.8,279755.94
7,221.14679391043526,208.39797973632812,-83332.24088016912,-93556.75614395032,210356.2,194347.7
8,147.45752825055803,147.21185302734375,-38557.86133625274,-42862.75471040841,140490.34,137232.42
9,94.38296726771763,96.52138900756836,-16043.850952776367,-18034.561401976243,89508.2,83769.734
10,64.18074471609933,54.62046813964844,-7376.363645521475,-5948.422200693797,63504.125,51257.68
11,57.336731501988005,60.34861755371094,-5876.622005503834,-6453.104284404833,58744.383,57760.7
12,69.13469314575195,65.61233901977539,-7960.257928926561,-8620.458454955002,70551.555,65433.688
13,71.16179983956474,60.25975799560547,-7901.9916549473855,-6384.265322579234,70499.58,56195.375
14,64.58676201956612,59.672481536865234,-6561.727852809296,-6280.502764383297,61731.637,56814.188
15,66.23213304792132,62.51303672790527,-6658.328215129285,-7493.726745194857,65146.79,66470.69
16,67.07156099591937,53.42630577087402,-6515.15539621196,-5960.812710366789,66101.67,51477.383
17,68.57297897338867,55.16918182373047,-6626.4657543780795,-7183.371398315774,65908.13,55235.45
18,68.89909308297294,53.3803596496582,-6475.116443576324,-4621.283466976907,68472.59,52576.695
19,68.60189383370536,49.38531684875488,-6355.7364072451455,-4662.560959796259,66640.06,49627.62
20,67.16475296020508,47.478097915649414,-6018.041458722903,-3865.744350877577,66598.51,46192.152
21,66.57782418387276,45.3491325378418,-5811.680446905203,-3756.81545879783,66247.1,44711.43
22,67.01098578316825,45.929826736450195,-5855.584338427427,-3212.033351625106,67135.86,43850.5
23,64.11156136648995,46.21530723571777,-5329.860034059785,-3753.346234323485,63888.992,45087.727
24,64.98878860473633,43.59251594543457,-5467.906310676358,-2995.1852289024428,65041.336,42991.145
25,63.50456673758371,43.31407356262207,-5185.663517479284,-3129.6499445941836,63174.668,42782.684
26,63.759303501674104,42.70648765563965,-5239.880089760833,-2688.3451308364392,63822.53,41340.88
27,62.59923226492746,40.21969413757324,-5046.621976243525,-2813.7070031832927,62321.68,39835.81
28,62.73426110403879,41.23481750488281,-5069.663309174534,-2563.6287556503694,62719.605,39940.324
29,61.70902306692941,39.77921485900879,-4901.174928000519,-2679.9151230503758,61437.625,39517.543
30,61.62099238804409,39.91582489013672,-4913.340550183448,-2408.7048362118576,61549.043,38772.79
31,60.817521231515066,38.645835876464844,-4779.765379931984,-2526.406194800717,60543.79,38590.13
32,60.778794969831196,39.537654876708984,-4791.285958270484,-2362.106952858365,60678.0,38394.562
33,60.19202477591379,37.84967803955078,-4704.688507073815,-2426.9760347120596,59934.562,37757.03
34,60.12290627615793,38.68503189086914,-4705.98176499903,-2273.1311543128872,59979.727,37724.727
35,59.73225893293108,37.210113525390625,-4649.673288470353,-2364.958790013615,59441.4,37221.137
36,59.751005445207866,37.5535774230957,-4663.822036998126,-2182.572610737724,59573.055,36693.355
37,59.46386936732701,36.109724044799805,-4617.683851087981,-2234.49824171803,59178.875,36255.19
38,59.5245737348284,36.618194580078125,-4638.955598398941,-2122.0406511589003,59317.1,35890.57
39,59.20440019880022,35.23921203613281,-4591.18123677651,-2167.954435630286,58889.688,35398.2
40,59.01435361589704,36.086862564086914,-4572.512536113125,-2074.4110922818504,58826.305,35440.188
41,58.83197838919504,35.18376350402832,-4544.540722317528,-2132.75802584667,58533.074,35248.176
42,58.65272194998605,35.67192268371582,-4525.480230719933,-2034.5874546441778,58456.74,35001.7
43,58.509979248046875,35.19275665283203,-4504.434269624094,-2123.4504361158533,58222.387,35254.168
44,58.332127707345144,35.35934257507324,-4486.104147707545,-1994.9515486814992,58132.137,34778.875
45,58.19469996861049,34.77145957946777,-4463.81323093673,-2074.095943210872,57896.76,34842.156
46,58.0864132472447,35.24140548706055,-4456.2032763498955,-1992.156953165441,57884.35,34692.473
47,57.917925698416575,34.74940872192383,-4428.852251910234,-2059.4897674736853,57597.793,34879.293
48,57.88638251168387,35.02420425415039,-4432.64880687121,-1971.8342067034846,57670.176,34475.363
49,57.68715449741909,34.464149475097656,-4399.187737944471,-2017.3507200845495,57369.055,34642.65
50,57.66677039010184,34.8593635559082,-4404.45190014873,-1953.460583729481,57438.332,34349.695
51,57.4769537789481,34.32104301452637,-4372.822109207211,-2012.9880911084529,57159.426,34520.14
