epoch,train_loss,val_loss,train_r2,val_r2,train_mae,val_mae
1,0.4072134518623352,0.58554878618036,0.029410803084197516,-0.7686848945670317,798.6874,915.26086
2,0.3976211140155792,0.5800755034599986,0.054034125507737396,-0.7480287319762617,786.8495,910.2096
3,0.3957681162953377,0.5825448738677161,0.0591304403278732,-0.7572714180283813,784.9092,912.96857
4,0.39481561273336413,0.5844794916255134,0.06191297245896543,-0.7626938896456453,784.091,915.87726
5,0.3939182922840118,0.5859585234097072,0.06454688163093235,-0.768014708802756,782.87463,918.0908
6,0.39316268169879914,0.5890164311443057,0.06675047588157398,-0.782226672170331,781.58954,921.52264
7,0.3922877835035324,0.592139197247369,0.06947563867138311,-0.7990199533468341,780.3324,924.7529
8,0.39141599309444425,0.596053523676736,0.07207412424877585,-0.8158565379378467,779.0067,929.549
9,0.39133372128009797,0.5918142572045326,0.07197540094938056,-0.7926459610158281,779.3424,925.4505
10,0.3875382578372955,0.5901161953806877,0.0821225308179283,-0.7801673625348429,773.2436,924.65625
11,0.3851503226161003,0.5912505643708366,0.0882378870063306,-0.7865416802951876,769.70715,926.02344
12,0.3831637518405914,0.5917368328997067,0.09359827479568097,-0.7912841157521359,766.7943,926.56445
13,0.3816348841190338,0.5915967098304203,0.09785708975090834,-0.7935576098438821,764.47986,926.2982
14,0.38021644061803817,0.5902879749025617,0.1018179283846448,-0.7907580912829208,762.5062,924.7673
15,0.3776721414923668,0.590626482452665,0.10876437747780607,-0.7949641772640497,759.3281,924.6426
16,0.37645758599042894,0.5906337339963231,0.11210311207236567,-0.7962322686960239,757.0514,924.71936
17,0.3756188098192215,0.5904822604996818,0.11440329366319468,-0.7968433902818844,756.32947,924.3822
18,0.3750529583096504,0.5899919047951698,0.11605338151347769,-0.795521763323954,755.7115,923.72034
19,0.3743056404590607,0.5892345170889582,0.1182045653954844,-0.7928856262733939,754.9083,922.7507
20,0.37365803945064546,0.5882107647401946,0.1200372761827738,-0.7888967959161766,754.12134,921.5417
21,0.3721358968615532,0.5873523748346737,0.12427733551819828,-0.7856540958439889,752.5707,920.57733
22,0.3715445387363434,0.586837330034801,0.12579492286049915,-0.7839247258311735,751.4217,920.0161
23,0.3710798190832138,0.5863033799188477,0.12717333929100177,-0.7821100182411073,750.906,919.4313
24,0.37074715954065324,0.5857242995074817,0.12809259599988848,-0.7800654118580226,750.58136,918.7894
25,0.3702772663831711,0.585112235375813,0.12947459901754627,-0.7778288422078492,750.0015,918.0785
26,0.36994245713949203,0.5843812227249146,0.13045691673991205,-0.7751211547262041,749.63544,917.2604
27,0.3691403897404671,0.583957317684378,0.13266958479721064,-0.7735702614671133,748.7053,916.78284
28,0.3688678864836693,0.5835245751908847,0.1333632096264855,-0.7719901716150414,748.3041,916.2928
29,0.368593664765358,0.5830482414790562,0.13410764307088066,-0.770222388590102,748.0042,915.76337
30,0.3683151694536209,0.5825557921613965,0.13494154704346864,-0.7683851924568443,747.6708,915.2106
31,0.3680302189588547,0.5819788788046155,0.1357187751968543,-0.7661940122803033,747.24744,914.5747
32,0.36782155084609985,0.5813117027282715,0.13627285140217413,-0.7636080477232233,747.1317,913.8218
33,0.3674429171681404,0.580935153578009,0.13734390415551412,-0.7621862247158717,746.7076,913.4017
34,0.36717494815588,0.5805307115827288,0.13806544128227421,-0.7606403196411977,746.3379,912.9445
35,0.3670505009293556,0.5800787763936179,0.1383902857407269,-0.7589139220613699,746.1947,912.4425
36,0.36686064291000364,0.5795784028513091,0.13889885283488773,-0.7569861244831031,746.032,911.8825
37,0.36676094830036166,0.5790095627307892,0.13919770255755798,-0.7547792993062992,745.85175,911.23145
38,0.3665143468976021,0.5782675434436116,0.13984373092046903,-0.7518784805325535,745.5707,910.4051
39,0.3663196769952774,0.5773014575242996,0.1404063661454164,-0.7481208541707722,745.3373,909.3236
40,0.3659663905501366,0.5759803546326501,0.14135295917112053,-0.7430085012087921,744.8979,907.853
41,0.3656506835222244,0.5742910940732274,0.1421748734295191,-0.7365936180289173,744.51495,906.0082
42,0.3651535477042198,0.5722683646849224,0.1435294289988102,-0.7290811214261685,743.94147,903.8297
43,0.3646230752468109,0.5699523431914193,0.1449605942932982,-0.7207450211361719,743.2982,901.36707
44,0.3638888580799103,0.5673173666000366,0.14691540222336905,-0.7115058873931089,742.4309,898.6166
45,0.3632106785774231,0.5643535075443131,0.14874644375021653,-0.7014098431049813,741.6051,895.56165
46,0.36240837264060977,0.5610578187874385,0.15095168832861486,-0.6904089100892673,740.708,892.2113
47,0.36171438109874726,0.5574279502034187,0.15288573226792632,-0.6785442330435826,739.8338,888.5845
48,0.3608826055526733,0.553495507155146,0.1551987375049287,-0.6658787326349109,738.8165,884.6986
49,0.359856785595417,0.549207825745855,0.1580313916437266,-0.652212634652303,737.5836,880.5083
50,0.3589252105355263,0.5447401904634067,0.1607731589653361,-0.6381368298305283,736.5148,876.17676
