timestamp,generation_solar,generation_wind_onshore,generation_hydro_pumped_storage,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_nuclear,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_brown_coal_lignite,generation_biomass,generation_waste,generation_other
2018-01-01 00:00:00,,457.0,,211.0,5514.0,,4.0,,,,,,45.0
2018-01-01 01:00:00,,440.0,,211.0,4789.0,,4.0,,,,,,45.0
2018-01-01 02:00:00,,421.0,,211.0,4132.0,,4.0,,,,,,44.0
2018-01-01 03:00:00,,407.0,,212.0,4091.0,,4.0,,,,,,44.0
2018-01-01 04:00:00,,390.0,,212.0,4140.0,,4.0,,,,,,44.0
2018-01-01 05:00:00,,375.0,,213.0,4235.0,,4.0,,,,,,44.0
2018-01-01 06:00:00,,350.0,,212.0,4668.0,,4.0,,,,,,44.0
2018-01-01 07:00:00,,326.0,,213.0,4544.0,,4.0,,,,,,44.0
2018-01-01 08:00:00,,270.0,,213.0,4693.0,,4.0,,,,,,43.0
2018-01-01 09:00:00,,240.0,,217.0,5137.0,,4.0,,,,,,43.0
2018-01-01 10:00:00,,231.0,,220.0,5481.0,,4.0,,,,,,43.0
2018-01-01 11:00:00,,208.0,,224.0,5593.0,,4.0,,,,,,43.0
2018-01-01 12:00:00,,214.0,,224.0,5616.0,,4.0,,,,,,43.0
2018-01-01 13:00:00,,216.0,,224.0,5739.0,,4.0,,,,,,43.0
2018-01-01 14:00:00,,213.0,,226.0,6430.0,,4.0,,,,,,43.0
2018-01-01 15:00:00,,200.0,,226.0,6711.0,,4.0,,,,,,44.0
2018-01-01 16:00:00,,187.0,,232.0,6956.0,,4.0,,,,,,44.0
2018-01-01 17:00:00,,171.0,,231.0,6804.0,,4.0,,,,,,43.0
2018-01-01 18:00:00,,164.0,,231.0,6647.0,,4.0,,,,,,43.0
2018-01-01 19:00:00,,143.0,,231.0,6476.0,,4.0,,,,,,43.0
2018-01-01 20:00:00,,127.0,,231.0,6175.0,,4.0,,,,,,43.0
2018-01-01 21:00:00,,116.0,,230.0,5305.0,,4.0,,,,,,43.0
2018-01-01 22:00:00,,108.0,,230.0,4591.0,,4.0,,,,,,43.0
2018-01-01 23:00:00,,169.0,,221.0,4510.0,,4.0,,,,,,44.0
2018-01-02 00:00:00,,172.0,,222.0,4156.0,,4.0,,,,,,44.0
2018-01-02 01:00:00,,167.0,,229.0,4390.0,,4.0,,,,,,44.0
2018-01-02 02:00:00,,166.0,,229.0,4256.0,,4.0,,,,,,44.0
2018-01-02 03:00:00,,151.0,,227.0,4469.0,,4.0,,,,,,44.0
2018-01-02 04:00:00,,146.0,,227.0,5975.0,,4.0,,,,,,44.0
2018-01-02 05:00:00,,130.0,,227.0,6867.0,,4.0,,,,,,48.0
2018-01-02 06:00:00,,104.0,,230.0,8379.0,,4.0,,,,,,53.0
2018-01-02 07:00:00,,76.0,,231.0,8604.0,,4.0,,,,,,62.0
2018-01-02 08:00:00,,55.0,,230.0,8663.0,,4.0,,,,,,65.0
2018-01-02 09:00:00,,40.0,,230.0,8745.0,,4.0,,,,,,67.0
2018-01-02 10:00:00,,38.0,,230.0,8794.0,,4.0,,,,,,67.0
2018-01-02 11:00:00,,22.0,,230.0,8745.0,,4.0,,,,,,67.0
2018-01-02 12:00:00,,15.0,,230.0,8707.0,,4.0,,,,,,67.0
2018-01-02 13:00:00,,11.0,,230.0,8733.0,,4.0,,,,,,67.0
2018-01-02 14:00:00,,20.0,,230.0,8760.0,,4.0,,,,,,67.0
2018-01-02 15:00:00,,19.0,,230.0,8720.0,,4.0,,,,,,68.0
2018-01-02 16:00:00,,36.0,,230.0,8689.0,,4.0,,,,,,68.0
2018-01-02 17:00:00,,60.0,,229.0,8613.0,,4.0,,,,,,68.0
2018-01-02 18:00:00,,89.0,,229.0,8578.0,,4.0,,,,,,68.0
2018-01-02 19:00:00,,114.0,,229.0,8348.0,,4.0,,,,,,65.0
2018-01-02 20:00:00,,156.0,,228.0,7708.0,,4.0,,,,,,65.0
2018-01-02 21:00:00,,192.0,,228.0,7080.0,,4.0,,,,,,64.0
2018-01-02 22:00:00,,228.0,,228.0,6833.0,,4.0,,,,,,64.0
2018-01-02 23:00:00,,294.0,,226.0,6025.0,,4.0,,,,,,63.0
2018-01-03 00:00:00,,330.0,,227.0,5447.0,,4.0,,,,,,63.0
2018-01-03 01:00:00,,363.0,,227.0,4885.0,,4.0,,,,,,64.0
2018-01-03 02:00:00,,407.0,,227.0,4844.0,,4.0,,,,,,64.0
2018-01-03 03:00:00,,430.0,,228.0,4829.0,,4.0,,,,,,64.0
2018-01-03 04:00:00,,418.0,,228.0,5285.0,,4.0,,,,,,64.0
2018-01-03 05:00:00,,426.0,,228.0,6132.0,,4.0,,,,,,64.0
2018-01-03 06:00:00,,426.0,,229.0,7061.0,,4.0,,,,,,64.0
2018-01-03 07:00:00,,426.0,,228.0,7354.0,,4.0,,,,,,65.0
2018-01-03 08:00:00,,407.0,,228.0,7524.0,,4.0,,,,,,65.0
2018-01-03 09:00:00,,387.0,,229.0,7826.0,,4.0,,,,,,65.0
2018-01-03 10:00:00,,329.0,,230.0,8134.0,,4.0,,,,,,65.0
2018-01-03 11:00:00,,305.0,,230.0,8384.0,,4.0,,,,,,66.0
2018-01-03 12:00:00,,286.0,,230.0,8476.0,,4.0,,,,,,66.0
2018-01-03 13:00:00,,283.0,,231.0,8546.0,,4.0,,,,,,65.0
2018-01-03 14:00:00,,260.0,,230.0,8541.0,,4.0,,,,,,65.0
2018-01-03 15:00:00,,255.0,,231.0,8518.0,,4.0,,,,,,65.0
2018-01-03 16:00:00,,232.0,,231.0,8503.0,,4.0,,,,,,65.0
2018-01-03 17:00:00,,214.0,,232.0,8455.0,,4.0,,,,,,65.0
2018-01-03 18:00:00,,198.0,,231.0,8508.0,,4.0,,,,,,65.0
2018-01-03 19:00:00,,166.0,,231.0,8329.0,,4.0,,,,,,64.0
2018-01-03 20:00:00,,151.0,,231.0,8166.0,,4.0,,,,,,64.0
2018-01-03 21:00:00,,138.0,,231.0,7736.0,,4.0,,,,,,63.0
2018-01-03 22:00:00,,130.0,,231.0,7040.0,,4.0,,,,,,62.0
2018-01-03 23:00:00,,96.0,,228.0,6167.0,,4.0,,,,,,57.0
2018-01-04 00:00:00,,91.0,,227.0,5608.0,,4.0,,,,,,57.0
2018-01-04 01:00:00,,91.0,,227.0,5186.0,,4.0,,,,,,57.0
2018-01-04 02:00:00,,77.0,,226.0,5149.0,,4.0,,,,,,56.0
2018-01-04 03:00:00,,61.0,,226.0,5304.0,,4.0,,,,,,56.0
2018-01-04 04:00:00,,51.0,,227.0,6134.0,,4.0,,,,,,56.0
2018-01-04 05:00:00,,45.0,,227.0,7457.0,,4.0,,,,,,59.0
2018-01-04 06:00:00,,45.0,,226.0,8325.0,,4.0,,,,,,61.0
2018-01-04 07:00:00,,40.0,,226.0,8560.0,,4.0,,,,,,63.0
2018-01-04 08:00:00,,33.0,,227.0,8539.0,,4.0,,,,,,64.0
2018-01-04 09:00:00,,29.0,,226.0,8602.0,,4.0,,,,,,64.0
2018-01-04 10:00:00,,28.0,,226.0,8680.0,,4.0,,,,,,64.0
2018-01-04 11:00:00,,27.0,,226.0,8690.0,,4.0,,,,,,64.0
2018-01-04 12:00:00,,34.0,,226.0,8735.0,,4.0,0.0,,,,,57.0
2018-01-04 13:00:00,,34.0,,226.0,8718.0,,4.0,,,,,,64.0
2018-01-04 14:00:00,,30.0,,226.0,8759.0,,4.0,,,,,,64.0
2018-01-04 15:00:00,,38.0,,226.0,8703.0,,4.0,,,,,,64.0
2018-01-04 16:00:00,,45.0,,226.0,8572.0,,4.0,,,,,,64.0
2018-01-04 17:00:00,,49.0,,226.0,8636.0,,4.0,,,,,,64.0
2018-01-04 18:00:00,,52.0,,227.0,8602.0,,4.0,,,,,,61.0
2018-01-04 19:00:00,,57.0,,226.0,8193.0,,4.0,,,,,,59.0
2018-01-04 20:00:00,,54.0,,226.0,8065.0,,4.0,,,,,,59.0
2018-01-04 21:00:00,,58.0,,226.0,7561.0,,4.0,,,,,,60.0
2018-01-04 22:00:00,,60.0,,225.0,6852.0,,4.0,,,,,,59.0
2018-01-04 23:00:00,,44.0,,223.0,5487.0,,4.0,,,,,,59.0
2018-01-05 00:00:00,,45.0,,222.0,4774.0,,4.0,,,,,,59.0
2018-01-05 01:00:00,,42.0,,222.0,4071.0,,4.0,,,,,,59.0
2018-01-05 02:00:00,,39.0,,222.0,4064.0,,4.0,,,,,,60.0
2018-01-05 03:00:00,,38.0,,221.0,4400.0,,4.0,,,,,,60.0
2018-01-05 04:00:00,,31.0,,221.0,4951.0,,4.0,,,,,,60.0
2018-01-05 05:00:00,,29.0,,221.0,6694.0,,4.0,,,,,,60.0
2018-01-05 06:00:00,,13.0,,220.0,8339.0,,4.0,,,,,,60.0
2018-01-05 07:00:00,,9.0,,220.0,8705.0,,4.0,,,,,,61.0
2018-01-05 08:00:00,,8.0,,219.0,8887.0,,4.0,,,,,,64.0
2018-01-05 09:00:00,,8.0,,218.0,8889.0,,4.0,,,,,,64.0
2018-01-05 10:00:00,,6.0,,215.0,8839.0,,4.0,,,,,,64.0
2018-01-05 11:00:00,,6.0,,202.0,8834.0,,4.0,,,,,,64.0
2018-01-05 12:00:00,,5.0,,201.0,8829.0,,4.0,,,,,,64.0
2018-01-05 13:00:00,,4.0,,202.0,8827.0,,4.0,,,,,,64.0
2018-01-05 14:00:00,,2.0,,202.0,8931.0,,4.0,,,,,,64.0
2018-01-05 15:00:00,,3.0,,202.0,8863.0,,4.0,,,,,,64.0
2018-01-05 16:00:00,,2.0,,202.0,8907.0,,4.0,,,,,,64.0
2018-01-05 17:00:00,,2.0,,202.0,8794.0,,4.0,,,,,,64.0
2018-01-05 18:00:00,,1.0,,203.0,8815.0,,4.0,,,,,,61.0
2018-01-05 19:00:00,,2.0,,203.0,8639.0,,4.0,,,,,,52.0
2018-01-05 20:00:00,,2.0,,203.0,8406.0,,4.0,,,,,,52.0
2018-01-05 21:00:00,,2.0,,203.0,8082.0,,4.0,,,,,,52.0
2018-01-05 22:00:00,,2.0,,203.0,7710.0,,4.0,,,,,,50.0
2018-01-05 23:00:00,,2.0,,202.0,7250.0,,4.0,,,,,,47.0
2018-01-06 00:00:00,,4.0,,202.0,6400.0,,4.0,,,,,,47.0
2018-01-06 01:00:00,,15.0,,202.0,5619.0,,4.0,,,,,,47.0
2018-01-06 02:00:00,,19.0,,203.0,5222.0,,4.0,,,,,,47.0
2018-01-06 03:00:00,,23.0,,202.0,5634.0,,4.0,,,,,,47.0
2018-01-06 04:00:00,,33.0,,202.0,6465.0,,4.0,,,,,,47.0
2018-01-06 05:00:00,,43.0,,202.0,7141.0,,4.0,,,,,,47.0
2018-01-06 06:00:00,,62.0,,203.0,7575.0,,4.0,,,,,,49.0
2018-01-06 07:00:00,,77.0,,203.0,7940.0,,4.0,,,,,,49.0
2018-01-06 08:00:00,,83.0,,203.0,8068.0,,4.0,,,,,,49.0
2018-01-06 09:00:00,,77.0,,207.0,8405.0,,4.0,,,,,,49.0
2018-01-06 10:00:00,,57.0,,207.0,8451.0,,4.0,,,,,,50.0
2018-01-06 11:00:00,,41.0,,210.0,8343.0,,4.0,,,,,,49.0
2018-01-06 12:00:00,,40.0,,210.0,8240.0,,4.0,,,,,,49.0
2018-01-06 13:00:00,,46.0,,210.0,8215.0,,4.0,,,,,,49.0
2018-01-06 14:00:00,,56.0,,210.0,8437.0,,4.0,,,,,,51.0
